scientific_name	matched_level	matched_name	matched_taxon_title	image_uuid	attribution	license	svg_file	png_file
Balaena mysticetus	species	Balaena mysticetus	Balaena mysticetus	18438875-f6e8-4e46-8fda-5a07bd4c1a85	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Balaena_mysticetus.svg	Balaena_mysticetus.png
Eubalaena japonica	species	Eubalaena japonica	Eubalaena japonica	281d59cc-200e-49d4-98a4-9decec603592	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Eubalaena_japonica.svg	Eubalaena_japonica.png
Balaenoptera musculus	species	Balaenoptera musculus	Balaenoptera musculus	16969246-31e0-48e3-90ff-cad9a8746073	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Balaenoptera_musculus.svg	Balaenoptera_musculus.png
Balaenoptera physalus	species	Balaenoptera physalus	Balaenoptera physalus	8366482f-d41c-4ab2-8403-3d70fb04ad5f	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Balaenoptera_physalus.svg	Balaenoptera_physalus.png
Megaptera novaeangliae	species	Megaptera novaeangliae	Balaenoptera novaeangliae	ce70490a-79a5-47fc-afb9-834e45803ab4	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Megaptera_novaeangliae.svg	Megaptera_novaeangliae.png
Eschrichtius robustus	species	Eschrichtius robustus	Balaenoptera robusta	8b73f54f-15e8-41b8-8c9c-46c86a185104	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Eschrichtius_robustus.svg	Eschrichtius_robustus.png
Caperea marginata	species	Caperea marginata	Caperea marginata	941169f7-bc86-4030-bb28-4419b78214de	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Caperea_marginata.svg	Caperea_marginata.png
Physeter macrocephalus	species	Physeter macrocephalus	Physeter macrocephalus	6579c20d-f8c2-46d8-8d23-5dd2571584bc	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Physeter_macrocephalus.svg	Physeter_macrocephalus.png
Kogia breviceps	species	Kogia breviceps	Kogia breviceps	5bfb840e-071f-4a1a-b101-0a747a5453e7	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Kogia_breviceps.svg	Kogia_breviceps.png
Orcinus orca	species	Orcinus orca	Orcinus orca	880129b5-b78b-40a9-88ad-55f7d1dc823f	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Orcinus_orca.svg	Orcinus_orca.png
Tursiops truncatus	species	Tursiops truncatus	Tursiops truncatus	0b5c6b41-3a44-4c9e-869a-63ed54bf7c65	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Tursiops_truncatus.svg	Tursiops_truncatus.png
Delphinus delphis	species	Delphinus delphis	Delphinus delphis	d6fe7b30-3229-48a8-8dc9-22173fafa899	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Delphinus_delphis.svg	Delphinus_delphis.png
Globicephala melas	species	Globicephala melas	Globicephala melaena	f042b3b4-d6a2-401c-938a-7e42dabe94d6	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Globicephala_melas.svg	Globicephala_melas.png
Phocoena phocoena	species	Phocoena phocoena	Phocoena phocoena	970f7e8d-a823-45b9-85b9-767704d0c13f	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Phocoena_phocoena.svg	Phocoena_phocoena.png
Neophocaena asiaeorientalis	species	Neophocaena asiaeorientalis	Neophocaena asiaeorientalis	841e9028-eab2-44af-bb26-cf00495a5d2d	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Neophocaena_asiaeorientalis.svg	Neophocaena_asiaeorientalis.png
Monodon monoceros	species	Monodon monoceros	Monodon monoceros	bfe45de4-d8a8-423c-abf3-087a7c7d0d6c	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Monodon_monoceros.svg	Monodon_monoceros.png
Delphinapterus leucas	species	Delphinapterus leucas	Delphinapterus leucas	79010a33-76f6-4f16-9e35-b9121b0e6bed	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Delphinapterus_leucas.svg	Delphinapterus_leucas.png
Ziphius cavirostris	species	Ziphius cavirostris	Ziphius cavirostris	625c4c03-2e1d-41d6-889c-6bea1c9764b2	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Ziphius_cavirostris.svg	Ziphius_cavirostris.png
Berardius bairdii	species	Berardius bairdii	Berardius bairdi	66ae22a7-b1d7-41e0-8c05-6c3bae0e5e35	Chris huh	https://creativecommons.org/licenses/by-sa/3.0/	Berardius_bairdii.svg	Berardius_bairdii.png
